2026-07-19T08:54:04+00:00
  PID  PPID USER     STAT %CPU %MEM   RSS NLWP     ELAPSED COMMAND
 6163     1 analyst  S    63.6  0.0  1564    1       00:00 agent-leak-app-
 6168  6163 analyst  R    50.0  0.1  8524    1       00:00 agent-leak-app-
    1     0 analyst  Ss    0.0  0.0  3832    1    17:33:20 bash
 6172     1 analyst  S     0.0  0.0  2732    1       00:00 bash
 6173     1 analyst  S     0.0  0.0  4372    1       00:00 top
 6174     1 analyst  S     0.0  0.0  2052    1       00:00 bash
 6176     1 analyst  S+    0.0  0.0  1096    1       00:00 sleep
 6178  6174 analyst  R     0.0  0.0  3864    1       00:00 ps
 6179  6174 analyst  S     0.0  0.0  1052    1       00:00 head
 6181  6172 analyst  R     0.0  0.0  1240    1       00:00 date
2026-07-19T08:54:05+00:00
  PID  PPID USER     STAT %CPU %MEM   RSS NLWP     ELAPSED COMMAND
 6163     1 analyst  S     6.2  0.0  1564    1       00:01 agent-leak-app-
 6168  6163 analyst  SN    2.9  0.2 16684    1       00:01 agent-leak-app-
    1     0 analyst  Ss    0.0  0.0  3832    1    17:33:21 bash
 6172     1 analyst  S     0.0  0.0  2736    1       00:01 bash
 6173     1 analyst  S     0.0  0.0  4376    1       00:01 top
 6174     1 analyst  S     0.0  0.0  2052    1       00:01 bash
 6176     1 analyst  S+    0.0  0.0  1096    1       00:01 sleep
 6185  6172 analyst  R     0.0  0.0  2576    1       00:00 ps
 6186  6174 analyst  R     0.0  0.0  3864    1       00:00 ps
 6187  6174 analyst  S     0.0  0.0  1052    1       00:00 head
2026-07-19T08:54:06+00:00
  PID  PPID USER     STAT %CPU %MEM   RSS NLWP     ELAPSED COMMAND
 6163     1 analyst  S     3.3  0.0  1564    1       00:02 agent-leak-app-
 6168  6163 analyst  SN    1.4  0.2 16684    1       00:02 agent-leak-app-
    1     0 analyst  Ss    0.0  0.0  3832    1    17:33:22 bash
 6172     1 analyst  S     0.0  0.0  2740    1       00:02 bash
 6173     1 analyst  S     0.0  0.0  4376    1       00:02 top
 6174     1 analyst  S     0.0  0.0  2052    1       00:02 bash
 6176     1 analyst  S+    0.0  0.0  1096    1       00:02 sleep
 6194  6174 analyst  R     0.0  0.0  3864    1 441077234-00:18:40 ps
 6195  6174 analyst  S     0.0  0.0  1044    1 441077234-00:18:40 head
2026-07-19T08:54:07+00:00
  PID  PPID USER     STAT %CPU %MEM   RSS NLWP     ELAPSED COMMAND
 6163     1 analyst  S     2.2  0.0  1564    1       00:03 agent-leak-app-
 6168  6163 analyst  SNl   1.9  0.5 42548    3       00:03 agent-leak-app-
    1     0 analyst  Ss    0.0  0.0  3832    1    17:33:23 bash
 6172     1 analyst  R     0.0  0.0  2740    1       00:03 bash
 6173     1 analyst  S     0.0  0.0  4376    1       00:03 top
 6174     1 analyst  S     0.0  0.0  2052    1       00:03 bash
 6176     1 analyst  S+    0.0  0.0  1096    1       00:03 sleep
 6204  6174 analyst  R     0.0  0.0  3864    1       00:00 ps
 6205  6174 analyst  S     0.0  0.0  1040    1       00:00 head
2026-07-19T08:54:08+00:00
  PID  PPID USER     STAT %CPU %MEM   RSS NLWP     ELAPSED COMMAND
 6163     1 analyst  S     1.6  0.0  1564    1       00:04 agent-leak-app-
 6168  6163 analyst  SNl   1.4  0.5 42548    3       00:04 agent-leak-app-
    1     0 analyst  Ss    0.0  0.0  3832    1    17:33:24 bash
 6172     1 analyst  R     0.0  0.0  2740    1       00:04 bash
 6173     1 analyst  S     0.0  0.0  4376    1       00:04 top
 6174     1 analyst  S     0.0  0.0  2052    1       00:04 bash
 6176     1 analyst  S+    0.0  0.0  1096    1       00:04 sleep
 6212  6174 analyst  R     0.0  0.0  3864    1       00:00 ps
 6213  6174 analyst  S     0.0  0.0  1048    1       00:00 head
2026-07-19T08:54:09+00:00
  PID  PPID USER     STAT %CPU %MEM   RSS NLWP     ELAPSED COMMAND
 6163     1 analyst  S     1.3  0.0  1564    1       00:05 agent-leak-app-
