  PID  PPID USER     STAT %CPU %MEM   RSS NLWP     ELAPSED COMMAND
 6168  6163 analyst  SNl   0.7  3.7 298588   3       00:35 agent-leak-app-
 6163     1 analyst  S     0.1  0.0  1564    1       00:35 agent-leak-app-
 6172     1 analyst  S     0.1  0.0  2744    1       00:35 bash
 6173     1 analyst  S     0.1  0.0  4376    1       00:35 top
 6174     1 analyst  S     0.0  0.0  2052    1       00:35 bash
    1     0 analyst  Ss    0.0  0.0  3832    1    17:33:56 bash
 6465  6174 analyst  S     0.0  0.0  1108    1       00:00 sleep
 6466  6172 analyst  S     0.0  0.0  1104    1       00:00 sleep
 6467     1 analyst  S+    0.0  0.0  2716    1       00:00 bash
 6471  6467 analyst  R+    0.0  0.0  3872    1       00:00 ps
 6472  6467 analyst  S+    0.0  0.0  1052    1       00:00 head
