2026-07-19T08:53:32+00:00
  PID  PPID USER     STAT %CPU %MEM   RSS NLWP     ELAPSED COMMAND
 5792     1 analyst  S    66.6  0.0  1560    1       00:00 agent-leak-app-
 5797  5792 analyst  R    50.0  0.1  8120    1       00:00 agent-leak-app-
    1     0 analyst  Ss    0.0  0.0  3296    1    17:32:48 bash
 5801     1 analyst  R     0.0  0.0  2732    1       00:00 bash
 5802     1 analyst  S     0.0  0.0  4392    1       00:00 top
 5803     1 analyst  S     0.0  0.0  2032    1       00:00 bash
 5805     1 analyst  S+    0.0  0.0  1096    1       00:00 sleep
 5807  5803 analyst  R     0.0  0.0  3864    1       00:00 ps
 5808  5803 analyst  S     0.0  0.0  1048    1       00:00 head
2026-07-19T08:53:33+00:00
  PID  PPID USER     STAT %CPU %MEM   RSS NLWP     ELAPSED COMMAND
 5792     1 analyst  S     7.1  0.0  1560    1       00:01 agent-leak-app-
 5797  5792 analyst  SN    3.8  0.2 16696    1       00:01 agent-leak-app-
    1     0 analyst  Ss    0.0  0.0  3296    1    17:32:49 bash
 5801     1 analyst  R     0.0  0.0  2736    1       00:01 bash
 5802     1 analyst  S     0.0  0.0  4396    1       00:01 top
 5803     1 analyst  S     0.0  0.0  2032    1       00:01 bash
 5805     1 analyst  S+    0.0  0.0  1096    1       00:01 sleep
 5815  5803 analyst  R     0.0  0.0  3864    1       00:00 ps
 5816  5803 analyst  S     0.0  0.0  1052    1       00:00 head
2026-07-19T08:53:34+00:00
  PID  PPID USER     STAT %CPU %MEM   RSS NLWP     ELAPSED COMMAND
 5792     1 analyst  S     3.7  0.0  1560    1       00:02 agent-leak-app-
 5797  5792 analyst  SN    1.9  0.2 16696    1       00:02 agent-leak-app-
    1     0 analyst  Ss    0.0  0.0  3296    1    17:32:50 bash
 5801     1 analyst  R     0.0  0.0  2740    1       00:02 bash
 5802     1 analyst  S     0.0  0.0  4396    1       00:02 top
 5803     1 analyst  S     0.0  0.0  2032    1       00:02 bash
 5805     1 analyst  S+    0.0  0.0  1096    1       00:02 sleep
 5823  5803 analyst  R     0.0  0.0  3864    1       00:00 ps
 5824  5803 analyst  S     0.0  0.0  1052    1       00:00 head
2026-07-19T08:53:35+00:00
  PID  PPID USER     STAT %CPU %MEM   RSS NLWP     ELAPSED COMMAND
 5792     1 analyst  S     2.5  0.0  1560    1       00:03 agent-leak-app-
 5797  5792 analyst  SN    1.3  0.2 16760    1       00:03 agent-leak-app-
    1     0 analyst  Ss    0.0  0.0  3296    1    17:32:51 bash
