2026-07-19T09:03:56+00:00
  PID  PPID USER     STAT %CPU %MEM   RSS NLWP     ELAPSED COMMAND
 7118     1 analyst  S    72.7  0.0  1564    1       00:00 agent-leak-app-
 7123  7118 analyst  R    50.0  0.1  8672    1       00:00 agent-leak-app-
    1     0 analyst  Ss    0.0  0.0  3884    1    17:41:45 bash
 7127     1 analyst  R     0.0  0.0  2732    1       00:00 bash
 7128     1 analyst  S     0.0  0.0  4392    1       00:00 top
 7129     1 analyst  S     0.0  0.0  4396    1       00:00 top
 7130     1 analyst  S     0.0  0.0  2104    1       00:00 bash
 7131     1 analyst  S+    0.0  0.0  1104    1       00:00 sleep
 7134  7130 analyst  R     0.0  0.0  3856    1       00:00 ps
 7135  7130 analyst  S     0.0  0.0  1056    1       00:00 head
 7137  7127 analyst  Z     0.0  0.0     0    1       00:00 date
2026-07-19T09:03:57+00:00
  PID  PPID USER     STAT %CPU %MEM   RSS NLWP     ELAPSED COMMAND
 7118     1 analyst  S     7.1  0.0  1564    1       00:01 agent-leak-app-
 7123  7118 analyst  SN    3.8  0.2 16700    1       00:01 agent-leak-app-
    1     0 analyst  Ss    0.0  0.0  3884    1    17:41:46 bash
 7127     1 analyst  S     0.0  0.0  2736    1       00:01 bash
 7128     1 analyst  S     0.0  0.0  4396    1       00:01 top
 7129     1 analyst  S     0.0  0.0  4404    1       00:01 top
 7130     1 analyst  S     0.0  0.0  2104    1       00:01 bash
 7131     1 analyst  S+    0.0  0.0  1104    1       00:01 sleep
 7141  7127 analyst  R     0.0  0.0  3736    1       00:00 ps
 7142  7130 analyst  R     0.0  0.0  3868    1       00:00 ps
 7143  7130 analyst  S     0.0  0.0  1048    1       00:00 head
2026-07-19T09:03:58+00:00
  PID  PPID USER     STAT %CPU %MEM   RSS NLWP     ELAPSED COMMAND
 7118     1 analyst  S     3.7  0.0  1564    1       00:02 agent-leak-app-
 7123  7118 analyst  SN    1.9  0.2 16700    1       00:02 agent-leak-app-
    1     0 analyst  Ss    0.0  0.0  3884    1    17:41:47 bash
 7127     1 analyst  R     0.0  0.0  2740    1       00:02 bash
 7128     1 analyst  S     0.0  0.0  4396    1       00:02 top
 7129     1 analyst  S     0.0  0.0  4404    1       00:02 top
 7130     1 analyst  S     0.0  0.0  2104    1       00:02 bash
 7131     1 analyst  S+    0.0  0.0  1104    1       00:02 sleep
 7150  7130 analyst  R     0.0  0.0  3860    1       00:00 ps
 7151  7130 analyst  S     0.0  0.0  1052    1       00:00 head
2026-07-19T09:03:59+00:00
  PID  PPID USER     STAT %CPU %MEM   RSS NLWP     ELAPSED COMMAND
 7118     1 analyst  S     2.5  0.0  1564    1       00:03 agent-leak-app-
 7123  7118 analyst  SNl   1.9  0.5 42564    3       00:03 agent-leak-app-
    1     0 analyst  Ss    0.0  0.0  3884    1    17:41:48 bash
 7127     1 analyst  R     0.0  0.0  2740    1       00:03 bash
 7128     1 analyst  S     0.0  0.0  4396    1       00:03 top
 7129     1 analyst  S     0.0  0.0  4404    1       00:03 top
 7130     1 analyst  S     0.0  0.0  2104    1       00:03 bash
 7131     1 analyst  S+    0.0  0.0  1104    1       00:03 sleep
 7160  7130 analyst  R     0.0  0.0  3864    1       00:00 ps
 7161  7130 analyst  S     0.0  0.0  1040    1       00:00 head
2026-07-19T09:04:00+00:00
  PID  PPID USER     STAT %CPU %MEM   RSS NLWP     ELAPSED COMMAND
 7118     1 analyst  S     1.9  0.0  1564    1       00:04 agent-leak-app-
 7123  7118 analyst  SNl   1.4  0.5 42564    3       00:04 agent-leak-app-
    1     0 analyst  Ss    0.0  0.0  3884    1    17:41:49 bash
 7127     1 analyst  R     0.0  0.0  2744    1       00:04 bash
 7128     1 analyst  S     0.0  0.0  4396    1       00:04 top
 7129     1 analyst  S     0.0  0.0  4408    1       00:04 top
 7130     1 analyst  S     0.0  0.0  2104    1       00:04 bash
 7131     1 analyst  S+    0.0  0.0  1104    1       00:04 sleep
