2026-07-19T09:02:51+00:00
  PID  PPID USER     STAT %CPU %MEM   RSS NLWP     ELAPSED COMMAND
 6586     1 analyst  S    72.7  0.0  1556    1       00:00 agent-leak-app-
    1     0 analyst  Ss    0.0  0.0  3872    1    17:40:40 bash
 6591  6586 analyst  R     0.0  0.1  8528    1       00:00 agent-leak-app-
 6595     1 analyst  R     0.0  0.0  2736    1       00:00 bash
 6596     1 analyst  S     0.0  0.0  4392    1       00:00 top
 6597     1 analyst  S     0.0  0.0  4396    1       00:00 top
 6598     1 analyst  S     0.0  0.0  2092    1       00:00 bash
 6600     1 analyst  S+    0.0  0.0  1108    1       00:00 sleep
 6602  6598 analyst  R     0.0  0.0  3864    1       00:00 ps
 6603  6598 analyst  S     0.0  0.0  1052    1       00:00 head
2026-07-19T09:02:52+00:00
  PID  PPID USER     STAT %CPU %MEM   RSS NLWP     ELAPSED COMMAND
 6586     1 analyst  S     7.2  0.0  1556    1       00:01 agent-leak-app-
 6591  6586 analyst  SN    3.9  0.2 16684    1       00:01 agent-leak-app-
    1     0 analyst  Ss    0.0  0.0  3872    1    17:40:41 bash
 6595     1 analyst  S     0.0  0.0  2740    1       00:01 bash
 6596     1 analyst  S     0.0  0.0  4396    1       00:01 top
 6597     1 analyst  S     0.0  0.0  4404    1       00:01 top
 6598     1 analyst  S     0.0  0.0  2092    1       00:01 bash
 6600     1 analyst  S+    0.0  0.0  1108    1       00:01 sleep
 6610  6598 analyst  R     0.0  0.0  3864    1 441077234-00:18:40 ps
 6611  6598 analyst  S     0.0  0.0  1052    1 441077234-00:18:40 head
2026-07-19T09:02:53+00:00
  PID  PPID USER     STAT %CPU %MEM   RSS NLWP     ELAPSED COMMAND
 6586     1 analyst  S     3.7  0.0  1556    1       00:02 agent-leak-app-
 6591  6586 analyst  SN    1.9  0.2 16684    1       00:02 agent-leak-app-
    1     0 analyst  Ss    0.0  0.0  3872    1    17:40:42 bash
 6595     1 analyst  S     0.0  0.0  2744    1       00:02 bash
 6596     1 analyst  S     0.0  0.0  4396    1       00:02 top
 6597     1 analyst  S     0.0  0.0  4404    1       00:02 top
 6598     1 analyst  S     0.0  0.0  2092    1       00:02 bash
 6600     1 analyst  S+    0.0  0.0  1108    1       00:02 sleep
 6618  6598 analyst  R     0.0  0.0  3860    1       00:00 ps
 6619  6598 analyst  S     0.0  0.0  1052    1       00:00 head
2026-07-19T09:02:54+00:00
  PID  PPID USER     STAT %CPU %MEM   RSS NLWP     ELAPSED COMMAND
 6586     1 analyst  S     2.5  0.0  1556    1       00:03 agent-leak-app-
 6591  6586 analyst  SN    1.3  0.2 16684    1       00:03 agent-leak-app-
    1     0 analyst  Ss    0.0  0.0  3872    1    17:40:43 bash
 6595     1 analyst  S     0.0  0.0  2744    1       00:03 bash
 6596     1 analyst  S     0.0  0.0  4396    1       00:03 top
 6597     1 analyst  S     0.0  0.0  4404    1       00:03 top
 6598     1 analyst  S     0.0  0.0  2092    1       00:03 bash
 6600     1 analyst  S+    0.0  0.0  1108    1       00:03 sleep
 6625  6595 analyst  R     0.0  0.0  3740    1       00:00 ps
 6626  6598 analyst  R     0.0  0.0  3868    1       00:00 ps
 6627  6598 analyst  S     0.0  0.0  1056    1       00:00 head
2026-07-19T09:02:55+00:00
  PID  PPID USER     STAT %CPU %MEM   RSS NLWP     ELAPSED COMMAND
 6586     1 analyst  S     1.9  0.0  1556    1       00:04 agent-leak-app-
 6591  6586 analyst  SN    0.9  0.2 16684    1       00:04 agent-leak-app-
    1     0 analyst  Ss    0.0  0.0  3872    1    17:40:44 bash
 6595     1 analyst  S     0.0  0.0  2748    1       00:04 bash
 6596     1 analyst  S     0.0  0.0  4396    1       00:04 top
 6597     1 analyst  S     0.0  0.0  4404    1       00:04 top
 6598     1 analyst  S     0.0  0.0  2092    1       00:04 bash
 6600     1 analyst  S+    0.0  0.0  1108    1       00:04 sleep
